Song,Lyrics,topic_label,topic_explanation
حواليك,"['حبك', 'هتوب', 'قلبك', 'هتوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'ياروحي', 'انا', 'روحي', 'انا', 'حبي', 'مكتوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'ياروحي', 'انا', 'روحي', 'انا', 'حبي', 'مكتوب', 'حبيبي', 'عمري', 'بريء', 'الملاك', 'لهواك', 'سلمت', 'امري', 'الجاي', 'معاك', 'حبيبي', 'عمري', 'بريء', 'الملاك', 'لهواك', 'سلمت', 'امري', 'الجاي', 'معاك', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'ياروحي', 'انا', 'روحي', 'انا', 'حبي', 'مكتوب', 'اتوب', 'ازاي', 'وماليش', 'الا', 'هواك', 'ليلك', 'وسهرت', 'وعرفت', 'الشوق', 'معاك', 'انا', 'اتوب', 'ازاي', 'وماليش', 'الا', 'هواك', 'ليلك', 'وسهرت', 'وعرفت', 'الشوق', 'معاك', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'حبك', 'هتوب', 'قلبك', 'هتوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'ياروحي', 'انا', 'روحي', 'انا', 'حبي', 'مكتوب', 'قلوب', 'وقلوب', 'بتميل', 'وتدوب', 'ياروحي', 'انا', 'روحي', 'انا', 'حبي', 'مكتوب']",New in love,"**New in love:** The lyrics express deep affection and surrendering oneself to love, emphasizing the feeling of being captivated and destined for this love."
ملهاش حل,"['ملهاش', 'حل', 'ملهاش', 'حل', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'ملهاش', 'حل', 'ملهاش', 'حل', 'لالا', 'لالالالا', 'لالا', 'لالالالا', 'لالا', 'لالا', 'لالا', 'لالا', 'لالا', 'لالالالا', 'حبيبي', 'طول', 'انت', 'بعيد', 'انا', 'عايش', 'الدنيا', 'وحيد', 'حبيبي', 'طول', 'انت', 'بعيد', 'انا', 'عايش', 'الدنيا', 'وحيد', 'مليت', 'الاحساس', 'بالالم', 'والقلب', 'كتير', 'انظلم', 'مليت', 'الاحساس', 'بالالم', 'والقلب', 'كتير', 'انظلم', 'الايام', 'عارف', 'حبيبي', 'الا', 'التنهيد', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'ملهاش', 'حل', 'ملهاش', 'حل', 'لالا', 'لالالالا', 'لالا', 'لالالالا', 'لالا', 'لالا', 'لالا', 'لالا', 'لالا', 'لالالالا', 'بعادك', 'انا', 'عشت', 'سنين', 'عمري', 'وانا', 'قلبي', 'حزين', 'بعادك', 'انا', 'عشت', 'سنين', 'عمري', 'وانا', 'قلبي', 'حزين', 'مليت', 'الاحزان', 'وحياتي', 'زمان', 'عشتها', 'مليت', 'الاحزان', 'وحياتي', 'زمان', 'عشتها', 'الايام', 'عارف', 'حبيبي', 'الا', 'التنهيد', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'ملهاش', 'حل', 'ملهاش', 'حل', 'لالا', 'لالالالا', 'لالا', 'لالالالا', 'لالا', 'لالا', 'لالا', 'لالا', 'لالا', 'لالالالا', 'ياما', 'شفت', 'كتير', 'وانا', 'بجري', 'ورا', 'كبير', 'ياما', 'شفت', 'كتير', 'وانا', 'بجري', 'ورا', 'كبير', 'وانا', 'راضي', 'بمشيئه', 'القدر', 'والعمر', 'وانهدر', 'انا', 'راضي', 'بمشيئه', 'القدر', 'والعمر', 'وانهدر', 'الايام', 'عارف', 'حبيبي', 'الا', 'التنهيد', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'ملهاش', 'حل', 'ملهاش', 'حل', 'ملهاش', 'حل', 'ملهاش', 'حل', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'نعيش', 'الحياه', 'انا', 'وانت', 'وقفت', 'مكاني', 'ملهاش', 'حل']",Goodbyes,"**Goodbyes/Mixed**

The song expresses longing and sadness due to separation from a loved one. It also touches upon acceptance of fate and the passage of time, suggesting a mix of themes related to goodbyes, loss, and resignation."
احلف بالليالي,"['احلف', 'بالليالي', 'وعيونك', 'غالي', 'احلف', 'بالليالي', 'وعيونك', 'غالي', 'اعرف', 'ايه', 'جرالي', 'وايه', 'حكايتي', 'معاك', 'واحلف', 'بالليالي', 'وعيونك', 'غالي', 'اعرف', 'ايه', 'جرالي', 'وايه', 'حكايتي', 'معاك', 'كلمه', 'واحلي', 'كلمه', 'لقيتني', 'بهوي', 'حبيبي', 'هواك', 'ضحكه', 'واحلي', 'ضحكه', 'مشيت', 'سكه', 'الاماني', 'معاك', 'كلمه', 'واحلي', 'كلمه', 'لقيتني', 'بهوي', 'حبيبي', 'هواك', 'ضحكه', 'واحلي', 'ضحكه', 'مشيت', 'سكه', 'الاماني', 'معاك', 'واحلف', 'بالليالي', 'وعيونك', 'غالي', 'اعرف', 'ايه', 'جرالي', 'وايه', 'حكايتي', 'معاك', 'مالي', 'ومال', 'الشوق', 'الشوق', 'نسيته', 'وقرب', 'ينساني', 'ينساني', 'مالي', 'ومال', 'الشوق', 'الشوق', 'نسيته', 'وقرب', 'ينساني', 'ينساني', 'بكلمه', 'حب', 'لقيتني', 'بحب', 'بكلمه', 'حب', 'لقيتني', 'بحب', 'وعرفت', 'الشوق', 'عينيك', 'واحلف', 'بالليالي', 'وعيونك', 'غالي', 'احلف', 'بالليالي', 'وعيونك', 'غالي', 'اعرف', 'ايه', 'جرالي', 'وايه', 'حكايتي', 'معاك', 'احساسي', 'بيك', 'وانت', 'وانت', 'عايزله', 'الف', 'حكايه', 'الف', 'حكايه', 'احساسي', 'بيك', 'وانت', 'وانت', 'عايزله', 'الف', 'حكايه', 'الف', 'حكايه', 'يتحس', 'بينا', 'يتحس', 'بينا', 'كلمه', 'او', 'ضحكايه', 'واحلف', 'بالليالي', 'وعيونك', 'غالي', 'احلف', 'بالليالي', 'وعيونك', 'غالي', 'اعرف', 'ايه', 'جرالي', 'وايه', 'حكايتي', 'معاك', 'كلمه', 'واحلي', 'كلمه', 'لقيتني', 'بهوي', 'حبيبي', 'هواك', 'ضحكه', 'واحلي', 'ضحكه', 'مشيت', 'سكه', 'الاماني', 'معاك', 'واحلف', 'بالليالي', 'وعيونك', 'غالي', 'احلف', 'بالليالي', 'وعيونك', 'غالي', 'اعرف', 'ايه', 'جرالي', 'وايه', 'حكايتي', 'معاك']",New in love,"**New in love:** The lyrics express a strong feeling of new love, fascination with the beloved's eyes, and finding happiness and fulfillment in their presence. Phrases like ""احلي كلمه لقيتني بهوي حبيبي هواك"" (the sweetest word, I found myself loving you, my beloved, your love) and ""ضحكه واحلي ضحكه مشيت سكه الاماني معاك"" (a laugh, and the sweetest laugh, I walked the path of dreams with you) clearly convey this theme."
ما تفكرنيش,"['تفكرنيش', 'بالعمر', 'انا', 'ضيعته', 'معاك', 'تفكرنيش', 'بعذابي', 'وحيرتي', 'زمان', 'وياك', 'تفكرنيش', 'بالعمر', 'انا', 'ضيعته', 'معاك', 'تفكرنيش', 'بعذابي', 'وحيرتي', 'زمان', 'وياك', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'مابقاش', 'مشتاق', 'لليالي', 'هواك', 'تفكرنيش', 'بالعمر', 'انا', 'ضيعته', 'معاك', 'تفكرنيش', 'بعذابي', 'وحيرتي', 'زمان', 'وياك', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'بقاش', 'مشتاق', 'لليالي', 'هواك', 'تفكرنيش', 'بحاجات', 'فاتت', 'وقلوب', 'دابت', 'واهات', 'والام', 'وجراح', 'وفراق', 'تفكرنيش', 'بسنين', 'عدت', 'وسنين', 'مرت', 'وسنين', 'حرمان', 'مافيهاش', 'اشواق', 'تفكرنيش', 'بحاجات', 'فاتت', 'وقلوب', 'دابت', 'واهات', 'والام', 'وجراح', 'وفراق', 'تفكرنيش', 'بسنين', 'عدت', 'وسنين', 'مرت', 'وسنين', 'حرمان', 'مافيهاش', 'اشواق', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'بقاش', 'مشتاق', 'لليالي', 'هواك', 'تفكرنيش', 'بالعمر', 'انا', 'ضيعته', 'معاك', 'تفكرنيش', 'بعذابي', 'وحيرتي', 'زمان', 'وياك', 'تفكرنيش', 'انا', 'شفته', 'انا', 'عشته', 'فاكر', 'قلبي', 'ان', 'انت', 'ملاك', 'تفكرنيش', 'بكلام', 'قولته', 'وانا', 'صدقته', 'بكلام', 'الهوا', 'جواك', 'تفكرنيش', 'انا', 'شفته', 'واللي', 'انا', 'عشته', 'فاكر', 'قلبي', 'ان', 'انت', 'ملاك', 'تفكرنيش', 'بكلام', 'قولته', 'وانا', 'صدقته', 'بكلام', 'الهوا', 'جواك', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'مابقاش', 'مشتاق', 'لليالي', 'هواك', 'تفكرنيش', 'بالعمر', 'انا', 'ضيعته', 'معاك', 'تفكرنيش', 'بعذابي', 'وحيرتي', 'زمان', 'وياك', 'تفكرنيش', 'بالعمر', 'انا', 'ضيعته', 'معاك', 'تفكرنيش', 'بعذابي', 'وحيرتي', 'زمان', 'وياك', 'انساني', 'خلاص', 'خلاص', 'انا', 'قلبي', 'خلاص', 'خلاص', 'بقاش', 'مشتاق', 'لليالي', 'هواك']",Goodbyes,"**Goodbyes**. The lyrics express a strong desire to forget a past relationship filled with pain, suffering, and lost time, indicating a definitive end and a plea to not be reminded of it."
العيون,"['العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'ياما', 'ياما', 'صدقنا', 'كلام', 'واتاكدنا', 'الايام', 'ياما', 'ياما', 'صدقنا', 'كلام', 'واتاكدنا', 'الايام', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'عيوني', 'رسمتك', 'طريقي', 'وحياتي', 'اه', 'اتاري', 'ابتسامتك', 'بدايه', 'اهاتي', 'اه', 'عيوني', 'رسمتك', 'طريقي', 'وحياتي', 'اه', 'اتاري', 'ابتسامتك', 'بدايه', 'اهاتي', 'اه', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'انجرحنا', 'بتدبل', 'جروحنا', 'اه', 'مره', 'خنا', 'بنجرح', 'روحنا', 'اه', 'انجرحنا', 'بتدبل', 'جروحنا', 'اه', 'مره', 'خنا', 'بنجرح', 'روحنا', 'اه', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون', 'العيون', 'تخون', 'يبقي', 'شيء', 'يهون']",Mixed,"**Betrayal and heartbreak**

The lyrics repeatedly mention ""eyes betray,"" suggesting a theme of deception. The lines about believing words that turn out to be false and smiles leading to pain further reinforce the idea of betrayal and the resulting heartbreak."
ولا الليالي تهون,"['الليالي', 'تهون', 'بينا', 'يهون', 'عمري', 'قلبي', 'العاشق', 'يقدر', 'مره', 'يخون', 'الليالي', 'تهون', 'بينا', 'يهون', 'عمري', 'قلبي', 'العاشق', 'يقدر', 'مره', 'يخون', 'دخلتي', 'قلبي', 'يومها', 'ماعادش', 'يحلم', 'بيكي', 'دنيا', 'بترميلي', 'همومها', 'تدوب', 'لحظه', 'الاقيكي', 'دخلتي', 'قلبي', 'يومها', 'ماعادش', 'يحلم', 'بيكي', 'دنيا', 'بترميلي', 'همومها', 'تدوب', 'لحظه', 'الاقيكي', 'وادي', 'الحياه', 'بتفرقنا', 'بتفرقنا', 'بنرجع', 'نقول', 'وادي', 'الحياه', 'بتفرقنا', 'بتفرقنا', 'بنرجع', 'نقول', 'الليالي', 'تهون', 'بينا', 'يهون', 'عمري', 'قلبي', 'العاشق', 'يقدر', 'مره', 'يخون', 'وحياه', 'عينيكي', 'وضحكتها', 'اغني', 'ابدا', 'ليكي', 'انتي', 'الاماني', 'وفرحتها', 'وبكره', 'ساكن', 'عينيكي', 'وحياه', 'عينيكي', 'وضحكتها', 'اغني', 'ابدا', 'ليكي', 'انتي', 'الاماني', 'وفرحتها', 'وبكره', 'ساكن', 'عينيكي', 'وادي', 'الحياه', 'بتفرقنا', 'بتفرقنا', 'بنرجع', 'نقول', 'وادي', 'الحياه', 'بتفرقنا', 'بتفرقنا', 'بنرجع', 'نقول', 'الليالي', 'تهون', 'بينا', 'يهون', 'عمري', 'قلبي', 'العاشق', 'يقدر', 'مره', 'يخون', 'الليالي', 'تهون', 'بينا', 'يهون', 'عمري', 'قلبي', 'العاشق', 'يقدر', 'مره', 'يخون']",Romantic Relationships,"**Romantic Relationships**

The lyrics express deep affection and devotion (""my heart, the lover,"" ""enter my heart,"" ""you are my hopes and their joy""), while also acknowledging hardship and separation (""life separates us,"" ""nights pass between us""). There is a struggle, but a strong underlying current of love and hope."
متخافيش,"['متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'عينيكي', 'عينيكي', 'هعيش', 'حب', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'متخافيش', 'اي', 'رقه', 'اي', 'فراق', 'لقانا', 'اروح', 'روحي', 'عاشقه', 'البعاد', 'هيزيد', 'هوانا', 'متخافيش', 'اي', 'رقه', 'اي', 'فراق', 'لقانا', 'اروح', 'روحي', 'عاشقه', 'البعاد', 'هيزيد', 'هوانا', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'اشوف', 'الكون', 'ملايكه', 'هكون', 'ليكي', 'مستحيل', 'انا', 'اتوه', 'سكه', 'الاخر', 'عينيكي', 'اشوف', 'الكون', 'ملايكه', 'هكون', 'ليكي', 'مستحيل', 'انا', 'اتوه', 'سكه', 'الاخر', 'عينيكي', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'قدري', 'ومكتوبي', 'انتي', 'وعشقي', 'ومحبوبي', 'انتي', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'هعيش', 'حب', 'متخافيش', 'انا', 'ناسيكي', 'متخافيش', 'نداني', 'هعيش', 'عينيكي', 'عينيكي', 'عينيكي', 'هعيش', 'حب']",New in love,"**New in love:** The lyrics express deep affection and commitment to a loved one, referring to them as ""my destiny,"" ""my love,"" and ""my beloved."" The promises of living in their eyes and seeing the world as angels suggest a new and all-encompassing love."
زي الزمان,"['الزمان', 'مالكيش', 'امان', 'ثانيه', 'بتبيعي', 'الزمان', 'مالكيش', 'امان', 'ثانيه', 'بتبيعي', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'الزمان', 'مالكيش', 'امان', 'ثانيه', 'بتبيعي', 'انا', 'حبك', 'قلبي', 'ملاك', 'برئ', 'اماني', 'عرفت', 'قلبك', 'علمني', 'ابقاش', 'برئ', 'ابدا', 'انا', 'حبك', 'قلبي', 'ملاك', 'برئ', 'اماني', 'عرفت', 'قلبك', 'علمني', 'ابقاش', 'برئ', 'ابدا', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'الزمان', 'مالكيش', 'امان', 'ثانيه', 'بتبيعي', 'واياكي', 'تفتكري', 'ان', 'انتي', 'ضحكتي', 'علي', 'قلبي', 'الولهان', 'ضحكتي', 'علي', 'قلبك', 'انتي', 'وبعتي', 'حبك', 'للنسيان', 'واياكي', 'تفتكري', 'ان', 'انتي', 'ضحكتي', 'علي', 'قلبي', 'الولهان', 'ضحكتي', 'علي', 'قلبك', 'انتي', 'وبعتي', 'حبك', 'للنسيان', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'اه', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب', 'هنشغل', 'بهواكي', 'وادوب', 'اقول', 'مقدر', 'مكتوب']",Romantic Relationships,"**Romantic Relationships**

Explanation: The lyrics describe betrayal, heartbreak, and the loss of innocence in love. The singer speaks of being deceived and realizing the untrustworthiness of their partner (""You have no loyalty, you sell in a second""). They also reflect on how the experience has changed them (""I knew your heart, it taught me to never be innocent"")."
و نندم,"['ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'والله', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'والله', 'حبيت', 'وعشت', 'ليالي', 'وانا', 'بحلم', 'باحلي', 'ربيع', 'حبيت', 'ماكانش', 'بالي', 'الحب', 'الحقيقي', 'يضيع', 'حبيت', 'وعشت', 'ليالي', 'وانا', 'بحلم', 'باحلي', 'ربيع', 'حبيت', 'ماكانش', 'بالي', 'الحب', 'الحقيقي', 'يضيع', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'والله', 'ومشيت', 'الطريق', 'للاخر', 'حبيبتي', 'لوحدي', 'غريب', 'اتاريني', 'وصلت', 'الاخر', 'والاخر', 'مالهش', 'نصيب', 'ومشيت', 'الطريق', 'للاخر', 'حبيبتي', 'وانا', 'غريب', 'اتاريني', 'وصلت', 'الاخر', 'والاخر', 'مالهش', 'نصيب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'والله', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'والله', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'ونندم', 'علي', 'العشره', 'الغاليه', 'ونرضي', 'بالمكتوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'ادي', 'حال', 'الدنيا', 'بتفرق', 'القلوب', 'والله', 'والله']",Mixed,"**Goodbye/Heartbreak:** The lyrics repeatedly mention regret over lost affection (""ونندم علي العشره الغاليه""), acceptance of fate (""ونرضي بالمكتوب""), and the idea that the world separates hearts (""بتفرق القلوب""). The lyrics describe loving and dreaming of a beautiful spring that vanished and walking alone on a journey ending with loneliness and loss, implying a broken romantic relationship."
مشغول,"['الدهب', 'غالي', 'بيكي', 'الدهب', 'مشغول', 'لف', 'الهوي', 'بالي', 'بالي', 'صبح', 'مشغول', 'الدهب', 'غالي', 'بيكي', 'الدهب', 'مشغول', 'لف', 'الهوي', 'بالي', 'بالي', 'صبح', 'مشغول', 'قدرت', 'اقول', 'مالي', 'وان', 'قلت', 'والله', 'اقول', 'جسر', 'لقيتش', 'جمالك', 'جمالك', 'ضي', 'طريقي', 'اتمد', 'الضي', 'بعيونك', 'لقيتش', 'جمالك', 'جمالك', 'ضي', 'طريقي', 'اتمد', 'الضي', 'بعيونك', 'الدهب', 'غالي', 'بيكي', 'الدهب', 'مشغول', 'لف', 'الهوي', 'بالي', 'بالي', 'صبح', 'مشغول', 'القمر', 'عالي', 'والله', 'القمر', 'يطول', 'غنيتي', 'موالي', 'قلبي', 'انشبك', 'علي', 'طول', 'القمر', 'عالي', 'والله', 'القمر', 'يطول', 'غنيتي', 'موالي', 'قلبي', 'انشبك', 'علي', 'طول', 'قربك', 'بيحلالي', 'خلي', 'الشبك', 'موصول', 'جسر', 'لقيتش', 'جمالك', 'جمالك', 'ضي', 'طريقي', 'اتمد', 'الضي', 'بعيونك', 'لقيتش', 'جمالك', 'جمالك', 'ضي', 'طريقي', 'اتمد', 'الضي', 'بعيونك', 'الدهب', 'غالي', 'بيكي', 'الدهب', 'مشغول', 'لف', 'الهوي', 'بالي', 'بالي', 'صبح', 'مشغول', 'حالي', 'صابر', 'وبكره', 'هنول', 'نجمه', 'بتلالي', 'وانا', 'بقول', 'حالي', 'صابر', 'وبكره', 'هنول', 'نجمه', 'بتلالي', 'وانا', 'بقول', 'ازاي', 'اكون', 'خالي', 'وانا', 'بيك', 'مشغول', 'جسر', 'لقيتش', 'جمالك', 'جمالك', 'ضي', 'طريقي', 'اتمد', 'الضي', 'عيونك', 'لقيتش', 'جمالك', 'جمالك', 'ضي', 'طريقي', 'اتمد', 'الضي', 'عيونك', 'الدهب', 'غالي', 'بيكي', 'الدهب', 'مشغول', 'لف', 'الهوي', 'بالي', 'بالي', 'صبح', 'مشغول', 'الدهب', 'غالي', 'بيكي', 'الدهب', 'مشغول', 'لف', 'الهوي', 'بالي', 'بالي', 'صبح', 'مشغول', 'قدرت', 'اقول', 'مالي', 'وان', 'قلت', 'والله', 'اقول']",New in love,"**New in love:** The lyrics express deep admiration and infatuation with someone. Phrases like ""Your beauty is light that extends my path,"" ""my heart is entangled,"" and ""I am preoccupied with you"" clearly indicate a theme of being newly in love."
